mistreat	0000121
lightweight	0002945 marked
gill	0000000 marked
motherlode	0000000
piece of the action	0043398
pronoun	0000376
regenerative	0000267 marked
hurtle	0000100
define	0010695
polo shirt	0001186
insipid	0000201
dictate	0002116
stepdaughter	0000300
pick my battles	0005957
bilingual education	0001754
wind up	0036104
permutation	0000077 marked
frontier	0005186
coating	0001885 marked
manifest	0002747
(the) heavy lifting	0000000 marked
seaweed	0000875
gild	0000043 marked
enrage	0000101
politeness	0000568
employment	0014237
sprain	0000240
generational	0001163
engage	0011869
yardstick	0000441
inherited	0004943 marked
plural (pl.)	0000000 marked
whisper	0004781
make through	0373942
remainder	0002967
clumsy	0001794
flare	0001447
rink	0001244
amendment	0008352
merrily	0000463
due diligence	0000734
grovel	0000103 marked
droplet	0000209
shell out	0010109 marked
shift	0019955
implore	0000166 marked
Sagittarius	0000517
uneconomic	0000065
onomatopoeia	0000034 marked
angrily	0002373
consecration	0000207
grander	0000511
bargain	0005014
(as) sharp as a tack	0000000 marked
ingrained	0000819 marked
thorax	0000194
upshot	0000504
try on	0103972
cheery	0000717
extraterrestrial	0000726
despatch	0000024
butler	0005436 marked
saute	0001728
implausible	0000538 marked
shoulder	0027495
flinch	0000743
you name it	0112052 marked
imminent	0003024
chart out	0008927 marked
pinch a loaf	0002269
immersion	0001089 marked
uninterrupted	0000760
Thank you in advance for your help in this matter.	0000000
pettiness	0000146 marked
disinterested	0000677
toss	0006031 marked
confound	0000412
amplification	0000536 marked
educational software	0024939
dictionary	0001923
jitter	0000071
mystery	0012102
quality assurance	0002782
asylee	0000000 marked
dissipate	0000569
recount	0002391
deserved	0003259
rotten	0002146
pliable	0000326
skillful	0001031
complexity	0006400
scrumptious	0000185
mosque	0002921 marked
confidant	0000525
undisputed	0000628
cardio	0000000
woodpecker	0000443 marked
otter	0000671 marked
literal	0002511
prodigious	0000779 marked
amorous	0000423
entwine	0000033
vendor	0001958
intransitive	0000029 marked
advertisement	0001546
pocket change	0016910
mournful	0000670
attribute	0002881
watermelon	0001138
I look forward to your prompt reply.	0000000
gritty	0001341 marked
pump out	0007548
woolly	0000607 marked
patterned	0001298
all the same	0234323
oftentimes	0001060
tow.	0000000
silly	0006951
swoosh	0000165
quicksand	0000275
inculcate	0000220
bliss	0001265
maiden voyage	0001190
arouse	0000686
riot	0002689
tout	0001028
palpable	0001514
let hair down	0070701
persuade	0004470
sum up	0006626
irresolute	0000000
point of reference	0015329
swerve	0000309 marked
gossip	0003672
Please can you tell me what the minimum order amount is.	0000000
antecedent	0000439 marked
slur	0000411 marked
genuinely	0003227
be in the red	0078978
drool	0000413
Commission	0015564
language education	0052162
boast	0001638
research	0126169
stratification.	0000000
retrospectively	0000256
reiterate	0000459 marked
sinister	0001640
enunciation	0000166
sovereign	0003056
tartar	0000445
jazzy	0000339
rumour-mongers	0000000
story building	0076236
cater	0000958
imagine	0031873
attractive	0011560
long run	0103714
gird	0000066
luxuriate	0000000
regress	0000216
profane language	0000688
decrease	0006710
glossary	0000577
flutter	0001004
engrossing	0000214
ignorance	0003909
preventative	0000438
can of worms	0002982
despondent	0000406
pylon	0000127
nod	0004866 marked
tailwind	0000082
affluent	0002748
nearly	0067965
indigestion	0000346
intrude	0000637
admittedly	0001878
simplicity	0002842 marked
garble	0000035 marked
magnify	0000342
redundant	0000947
scalability	0000000 marked
nor	0038696
even so	0462340 marked
floozy	0000040 marked
econ	0000000
mellifluous	0000109
the early bird catches the worm	0002456
blimp	0000229
mammal	0000982
household name	0012804
statement	0029428
make redundant	0000947
faintly	0001765
asinine	0000113 marked
thoughts	0020677
pinch	0002965
conquer	0001475
penchant (for)	0000000 marked
continuity	0003316
rule of thumb	0006381
experimentally	0000626
fluently	0000283
gist	0000521
furthermore	0010747
refer	0007853
pitiful	0001023
timely	0002638 marked
lincoln log	0000000
colon	0002240
desegregation	0000915 marked
mascara	0000915
discard	0002217
criteria	0011357
obscene	0001622
eligibility	0002212
prohibitive	0000484
no matter what	0085598
nearby	0022324
in some respects	0004106 marked
Generation Y	0001780 marked
modest	0010175
trial and error	0010266
conflagration	0000341
rive	0000200
potluck dinner	0000000
hatred	0004281
abruptly	0004947
launch party	0010946
school subjects	0025342
disenchant	0000004 marked
supporting role	0013062
nourishing	0000452
deep-seated	0000000
treason	0000928
enchanting	0000522
counsel	0011993
leisure time	0003510
liver	0005198
probability	0004523
dumbbell	0000744
contageous	0000000
contention	0002986 marked
lofty	0001454
veal	0001060
browbeat	0000075
propriety	0000793 marked
explicit	0005636 marked
abash	0000000
imbue	0000171 marked
build up	0039065
abase	0000013
utilize	0002053
subside	0000516
prevail	0002624
flake	0000757
reverberation	0000112 marked
universal testing machine	0013252
enabler	0000000
implicit	0003308
explicitly	0005183
backrest	0000000
enormously	0002539
no laughing matter	0013719
flower bed	0008561
futile	0001709
direct	0031969
obnoxiously	0000053
rivulet	0000073
hardship	0001714
cozy up	0002870
wistful	0000679
pantry	0001347
visibly	0001593
droll	0000228
idle chat	0002474
livid	0000414
occasionally	0014008
clammed up	0000047
elbow out	0005399 marked
wharf	0000493
eschew	0000366
reverberating	0000264
to put out of commission	0015564
amass	0000350
put together	0125096 marked
immaterial	0000387
honorific	0000000 marked
blinker	0000055
veranda	0000819 marked
hit a wall	0061049 marked
acronym	0000683
noteworthy	0001761
shirk	0000207 marked
ellipses	0000240 marked
tentative	0002377
tread water	0001296 marked
temporize	0000000
porridge	0000421
crust	0003930
flail	0000197 marked
foreshortening	0000037
protractor	0000041
incredulous	0000820
whet	0000176
eruption	0001330
stockings	0001374
preside	0000517 marked
certain	0071143
offspring	0003192
whim	0000971
uninterested	0000535
heretofore	0000599
thanking you in advance	0000971 marked
I hope you have been keeping well	0028129
constantly	0013620
nut	0002873
despite this	0053792
whir	0000269
whip	0003901
whale	0004775
feed off	0013611
sturdiness	0000079 marked
company retreat	0006288 marked
threaten	0005003
fly paper	0021862 marked
citizenry	0001139
financial statements	0015388
otherwise	0024857
cellar	0002106
one-on-one	0000000 marked
tangle	0001612
intrigue	0001137
orient	0001137
foolhardy	0000321 marked
in order	0094124
handicap	0001575
dependable	0000993
veer	0000587
solely	0005997
keen	0003331
undocumented	0001390
keel	0000713
indifferent	0002107
no-show fee	0000000
overhaul	0001987
hing on	0000000
right away	0206770
cruise	0007003
solemn	0001824
revenue tax	0014604
weigh	0004599
acute	0004953
wondrous	0000977
made up my mind	0091004
thread the needle	0004395
chief executive	0038342
unsure	0002281
MVP	0000000 marked
shortcuts	0000547
launder	0000200
endurance	0002511
swings	0004358
unavailability	0000122
necessarily	0019199
farcical	0000171
dissenter	0000145
strive	0002146 marked
fungus	0001520
along	0122730
to parallel	0008780 marked
tie the knot	0003005
parallel	0008780
prattle	0000106
dialogue	0011589 marked
scorching	0000573
blunder	0000602
way bigger	0020924
call in sick	0022134
enzyme	0001373
breach	0002287
handful	0009699
stimulus	0005297
unblemished	0000268
terminal	0004890
deal with	0079460 marked
ballast	0000659
surpass	0000914
management intervention	0016295
aloof	0000752
gouge	0000249 marked
whiz	0000958
downcast	0000315
shiny	0005028
succumb	0000842 marked
hands down	0091651 marked
disproportionate	0001504
unfold	0001705
reap the harvest	0001537
translucent	0001579
revue	0000533
thankless	0000219
plough	0000110
as such	0342037
simulcast	0000117
uninvolved	0000180
promoted	0005869
Insert	0002865
equity	0006930
acquiescent	0000065 marked
back on track	0033785
jingling	0000221
aversion	0000947
coupled with	0003792 marked
trailing	0002753 marked
work ethic	0002810
jittery	0000539
warfare	0005029
escapist	0000161
go limp	0002693 marked
promoter	0001110
perch	0002016
jitters	0000439
if at all	0976279
neglect	0004302
saccade	0000000 marked
tag team	0005338
carve	0001879
vein	0002447
godhood	0000000
piecework	0000000
tuberculosis	0001958
peach	0002515
carried away	0026016
brouhaha	0000197
order of magnitude	0006994 marked
uncanny	0001294 marked
unorthodox	0000745 marked
exhaustively	0000180
arrive at a conclusion	0010586
impenetrable	0000872
enamored with	0000000 marked
turning	0030743
consideration	0009692
competitive	0015591
contrarian	0000000 marked
Paradise	0003181
frank	0029163 marked
endlessly	0001946
exacerbate	0000792
brothel	0000540
consequently	0006688
customize	0000606
borehole	0000094
reluctance	0002797
stripped-down	0000000
extinction	0002600
transmutation	0000099
cadaver	0000381
come apart	0024126 marked
behead	0000079 marked
relinquish	0000861
shambles	0000625 marked
save face	0034817
blasphemy	0000437
ribbit	0000000
disclaimer	0000441 marked
innovation	0005864
yakety	0000000
detractor	0000041
appendage	0000291 marked
rounding	0001170
crowd out	0027469
alternate	0003504
unbridgeable	0000000
fraudulently	0000175 marked
altercate	0000000
attainment	0001568
kelp	0000405
assuage	0000405
backache	0000071
enchant	0000074
feeding frenzy	0002549 marked
in the same fashion	0019815 marked
decipher	0000941
empowered	0001755
sewage	0003044 marked
sanctity	0000833
essential	0019887
saltpetre	0000000 marked
parchment	0001301
upon closer inspection	0005695 marked
vent	0002048 marked
clarify	0003114
furnace	0001562
insignia	0000626
bootlicker	0000000 marked
haunt	0001669
ditch	0002738
lightness	0000607
duplicity	0000308
residual	0002736 marked
recompense	0000186 marked
edge up	0034196
murky	0001700 marked
manageable	0001381 marked
Yours sincerely	0001454
generosity	0002267
exploratory	0001628
acclimate	0000000
vend	0000014
fade out	0004262
gas mileage	0001659
foregone conclusion	0000379
excavation	0001297
exclude	0002546
utmost	0001162
embark on	0000853
seduction	0000919
deduct	0000703
immeasurably	0000270
home office	0107063
pallid	0000344 marked
turned out	0104163
on board	0058701
ribbon	0003330
portray	0002609
unbeknownst	0000363
fearsome	0000729
a lot to take in	0213714
restlessness	0000533
all-out	0000000
mainland	0003693
House of Commons	0001596
collate	0000048 marked
tuneful	0000079
cracking down	0002625
reeve	0001033
squeak	0000717
condone	0000659
temptation	0002940
squeal	0000592
oddly	0003418
burst	0008988
carry	0029386
user-friendly	0000000 marked
necessity	0006190
frame	0018900
debauch	0000032
venue	0002482
down and out	0390535
compelling	0006440
clash	0002686
overturn	0001231
antic	0000148
spacing effect	0000847 marked
incarcerate	0000129
precaution	0000848
burden	0010982
getaway	0001217 marked
overture	0000563
clasp	0000608
well-fed	0000000
employment insurance	0014237 marked
artificiality	0000144 marked
personality	0014308
sanction	0001266
intently	0001989 marked
deduce	0000417
extemporaneous	0000070
rock-bottom	0000000
proverb	0000498
don't mind	0000000
outstretched	0001368
dutiful	0000407
dugout	0001217
amputee	0000284
impermanent	0000072
inuit	0000650
oar	0000352
attendee	0000138
oat	0000549
languorous	0000129
speaking ill	0016966
to put it differently	0010057 marked
evasive	0000593
counter	0014159
unmask	0000124
pottery	0002945
dally	0000172
management	0047030 marked
conventional wisdom	0011419
major issue	0091702
leap year	0005686 marked
an arm and a leg	0019582
kick off	0010242
significantly	0023071
assign	0001879
promotion	0006129
straightforward	0003473
drab	0000926
maturity date	0003200
bogged down	0000700
congress	0065726
unpretentious	0000459
weaponry	0001114
cost centre	0001093
strike out	0017856
legislative	0008804
nurturing	0002196
vessel	0005393 marked
rodent	0000731
drag	0007101
dispatcher	0000923
clamp	0001040
discombobulated	0000000
abjection	0000000
issue	0091702
bakery	0002249
ointment	0000474
dependency	0002377
literally	0014202
lower	0052521
frail	0001846
bric-a-brac	0000000
odd	0012406
coveralls	0000475
decree	0001825
conservation	0012665
vintage	0004328
kerb	0000042
peace of mind	0044118
rascal	0000212
pedestal	0001160 marked
ornery	0000000
semblance	0000902
admonish	0000167
widen	0001511
It's reassuring to know	0000000
mediate	0001115
indefinitely	0002110 marked
eventually	0036119
lacuna	0000089
amplify	0000528
more specifically	0019858 marked
delegate	0001618
cerebrum	0000045
self-absorbed	0000000 marked
tumour	0000282
digest	0001293
slump	0001864
peril	0001617 marked
dependence	0004242
exuberant	0001019
remembrance	0001118
couch-potato	0000000
vest	0002352
draw	0020749
obnoxious	0000849
penitent	0000211
do in	1382916
generally	0034460
dinner jacket	0013234
might as well	0220220
as a result	0063041
predilection	0000323
salad dressing	0008113
matter of confidence	0019794
seriousness	0002077
hard-liner	0000000
meant to be	0036865
complete	0038070
root for	0009929
transaction	0003502
unsecure	0000000
erasure	0000000
eyelid	0000432
bribe	0001002 marked
blurry	0000855
coax	0000785
fourth estate	0019934
nutritious	0000963
permanent residency	0001601
edge	0034196
willies	0000177 marked
yada yada (yada)	0000000 marked
marshal	0001354
take turn	0094098
relentless	0002809
claim	0027451
widespread	0009617
pair up	0021353
romper	0000068
credibility	0007057
stacked up	0003494
my better half	0099946
jarring	0000724 marked
dweller	0000268
overpay	0000000
morose	0000311
repulsive	0000629
boggle	0000045
suit yourself	0024563
hurdle	0001465
clench	0000246
(the) (R)renaissance	0000000 marked
digress	0000173 marked
turn away	0094098 marked
puff	0002083
coat	0015417
expand	0011074
hateful	0000751
squander	0000325
orca	0000000
drag on	0007101 marked
survey	0028954
retrieve	0002444
malice	0000860
devastating	0005553 marked
arcane	0000907
walk off	0049583
bride	0005283
favourable	0000156
code	0018032
furrow	0000422
displace	0000695
passionate	0004737
lowly	0000769
fasting	0000838
investigate	0008288
interest-rate hike	0000000
amp up	0000446
scratching post	0001909
re-enactment	0000000
drawing out	0017981
devastation	0001847
sultry	0000660
considerable	0011869
productivity	0006854
proposition	0003756
burly	0000928
discommode	0000000
trust management	0030277
subsist	0000208
sympathy	0005656
blah	0001377 marked
brief	0017823
look in on	0260017
determine	0026897
overestimation	0000083
considerably	0005650
out of the blue	0052816
total figure	0056164
voluntarily	0002614
purview	0000509
friction	0002517
confer	0000950 marked
regretful	0000161 marked
hands full	0082594
hillock	0000175
selfless	0000541 marked
wrought	0001430 marked
obsessiveness	0000056
for one	1189132 marked
equip	0000678
pandemonium	0000374
spiritual	0018002
compliant	0000705
cock	0001046
edgy	0001197
wholesome	0000966
fiercest	0000348
revitalization	0000782 marked
losing streak	0005001
evidently	0003339
ensconce	0000014
